Language Name,Language Family,Endangerment Status,Year,Age group,Speaker by age,Lt,Ln
Cree languages,Algonquian languages,6b (Threatened),2016-01-01,15-64,66370,57.844751,-101.855991
Mi'kmaq,Algonquian languages,6b (Threatened),2016-01-01,15-64,6280,45.828799,-64.326284
Innu/Montagnais,Algonquian languages,6b (Threatened),2016-01-01,15-64,7490,48.676454,-70.377626
Ojibway,Algonquian languages,6b (Threatened),2016-01-01,15-64,20130,45.429299,-79.918541
Oji-Cree,Algonquian languages,8a (Moribund),2016-01-01,15-64,10540,50.34546,-87.927117
Dakelh (Carrier),Athabaskan languages,7 (Shifting),2016-01-01,15-64,1465,54.02068,-123.527897
Dene (Chipewyan),Athabaskan languages,6b (Threatened),2016-01-01,15-64,8735,59.95501,-110.154848
North Slavey (Hare),Athabaskan languages,6b (Threatened),2016-01-01,15-64,700,65.694476,-127.792353
South Slavey,Athabaskan languages,7 (Shifting),2016-01-01,15-64,1015,61.773123,-121.264121
Kaska (Nahani),Athabaskan languages,7 (Shifting),2016-01-01,15-64,250,59.220934,-130.325248
Tahltan,Athabaskan languages,8a (Moribund),2016-01-01,15-64,165,57.774518,-131.87196
Haida,Haida,8b (Nearly extinct),2016-01-01,15-64,275,52.829321,-132.003884
Mohawk,Iroquoian languages,6b (Threatened),2016-01-01,15-64,1610,45.090975,-74.676745
Shuswap (Secwepemctsin),Salish languages,8a (Moribund),2016-01-01,15-64,830,52.261434,-120.838256
Stoney,Siouan languages,7 (Shifting),2016-01-01,15-64,2545,51.161330936,-114.852561647
Tlingit,Tlingit,8a (Moribund),2016-01-01,15-64,180,59.615890734,-133.629114002
Gitksan,Tsimshian languages,6b (Threatened),2016-01-01,15-64,840,55.262995491,-127.626300131
Nisga'a,Tsimshian languages,7 (Shifting),2016-01-01,15-64,630,55.076431797,-129.450297415
Tsimshian,Tsimshian languages,8a (Moribund),2016-01-01,15-64,205,54.523654629,-128.551250580
Kwakiutl (Kwak'wala),Wakashan languages,8a (Moribund),2016-01-01,15-64,360,50.916887,-127.298863
Inuktitut,Inuit languages,2 (Provincial),2016-01-01,15-64,25170,63.747255389,-68.515035761
Atikamekw,Algonquian languages,5 (Developing),2016-01-01,>65,220,47.960502,-74.277655
Siksika (Blackfoot),Algonquian languages,7 (Shifting),2016-01-01,>65,875,50.788575,-112.972441
Cree languages,Algonquian languages,6b (Threatened),2016-01-01,>65,10310,57.844751,-101.855991
Mi'kmaq,Algonquian languages,6b (Threatened),2016-01-01,>65,880,45.828799,-64.326284
Innu/Montagnais,Algonquian languages,6b (Threatened),2016-01-01,>65,745,48.676454,-70.377626
Ojibway,Algonquian languages,6b (Threatened),2016-01-01,>65,4250,45.429299,-79.918541
Oji-Cree,Algonquian languages,8a (Moribund),2016-01-01,>65,805,50.34546,-87.927117
Dakelh (Carrier),Athabaskan languages,7 (Shifting),2016-01-01,>65,410,54.02068,-123.527897
Dene (Chipewyan),Athabaskan languages,6b (Threatened),2016-01-01,>65,1160,59.95501,-110.154848
North Slavey (Hare),Athabaskan languages,6b (Threatened),2016-01-01,>65,185,65.694476,-127.792353
South Slavey,Athabaskan languages,7 (Shifting),2016-01-01,>65,205,61.773123,-121.264121
Kaska (Nahani),Athabaskan languages,7 (Shifting),2016-01-01,>65,70,59.220934,-130.325248
Tahltan,Athabaskan languages,8a (Moribund),2016-01-01,>65,55,57.774518,-131.87196
Haida,Haida,8b (Nearly extinct),2016-01-01,>65,85,52.829321,-132.003884
Mohawk,Iroquoian languages,6b (Threatened),2016-01-01,>65,235,45.090975,-74.676745
Shuswap (Secwepemctsin),Salish languages,8a (Moribund),2016-01-01,>65,190,52.261434,-120.838256
Stoney,Siouan languages,7 (Shifting),2016-01-01,>65,220,51.161330936,-114.852561647
Tlingit,Tlingit,8a (Moribund),2016-01-01,>65,35,59.615890734,-133.629114002
Gitksan,Tsimshian languages,6b (Threatened),2016-01-01,>65,340,55.262995491,-127.626300131
Nisga'a,Tsimshian languages,7 (Shifting),2016-01-01,>65,255,55.076431797,-129.450297415
Tsimshian,Tsimshian languages,8a (Moribund),2016-01-01,>65,165,54.523654629,-128.551250580
Kwakiutl (Kwak'wala),Wakashan languages,8a (Moribund),2016-01-01,>65,200,50.916887,-127.298863
Inuktitut,Inuit languages,2 (Provincial),2016-01-01,>65,1695,63.747255389,-68.515035761
